Date,AMZN.NE,BBW,BOND.TO,BRK.NE,CGL.TO,DOL.TO,ENB.TO,EQB.TO,GOOG.NE,GOOGL,HPS-A.TO,LMN.V,MA.NE,META.NE,MSFT,MSFT.NE,NFTY,NVDA.NE,RAND,TSM,UMAC,UNH.NE,VFV.TO,WELL.TO,WMT.NE,XEQT.TO,ZDI.TO
2025-09-17,27.079999923706055,70.7149658203125,16.785890579223633,36.5099983215332,28.450000762939453,188.8452911376953,65.78683471679688,90.32767486572266,40.59524154663086,249.19146728515625,115.71370697021484,45.5,36.8370361328125,42.17106628417969,507.9079284667969,36.44094467163086,57.939453125,38.995723724365234,14.107709884643555,261.3460693359375,11.430000305175781,15.752057075500488,160.32589721679688,4.699999809265137,44.2089729309082,38.22636032104492,27.477876663208008
2025-09-18,27.059999465942383,73.24156188964844,16.711740493774414,36.290000915527344,28.329999923706055,187.1871795654297,65.95225524902344,91.00995635986328,41.0745964050293,251.68807983398438,116.62593078613281,45.04999923706055,36.1290168762207,42.410499572753906,506.3444519042969,36.34135437011719,57.51725769042969,40.29558563232422,13.681045532226562,267.1639099121094,11.109999656677246,15.426764488220215,161.44773864746094,4.929999828338623,43.989871978759766,38.47613525390625,27.568431854248047
2025-09-19,27.100000381469727,72.1065673828125,16.70247459411621,36.43000030517578,28.610000610351562,189.44461059570312,66.51661682128906,92.00865936279297,41.51400375366211,254.3744354248047,115.94799041748047,45.79999923706055,35.92957305908203,42.28080368041992,515.78515625,37.00862121582031,57.723445892333984,40.42557144165039,13.634669303894043,263.41461181640625,13.100000381469727,15.525339126586914,162.10299682617188,4.940000057220459,43.442115783691406,38.576053619384766,27.437633514404297
2025-09-22,26.65999984741211,70.3300552368164,16.637590408325195,36.54999923706055,29.100000381469727,186.40805053710938,66.16632080078125,91.35604095458984,41.144500732421875,252.18739318847656,118.64978790283203,44.630001068115234,35.97943878173828,41.56078338623047,512.319580078125,36.76959991455078,57.487796783447266,41.96540069580078,13.653220176696777,271.1319885253906,14.350000381469727,15.752057075500488,163.31419372558594,5.179999828338623,43.63134002685547,38.8308219909668,27.58855438232422
2025-09-23,25.81999969482422,71.32687377929688,16.721010208129883,36.54999923706055,29.219999313354492,186.20828247070312,66.7890625,91.59335327148438,41.024662017822266,251.31858825683594,117.0645980834961,42.41999816894531,35.03208541870117,41.061614990234375,507.1212463378906,36.40110397338867,57.026329040527344,40.82552719116211,13.579017639160156,281.1566162109375,14.0,16.047779083251953,162.59939575195312,5.099999904632568,43.49190902709961,38.7159309387207,27.61874008178711
2025-09-24,25.770000457763672,71.96839141845703,16.674663543701172,36.72999954223633,28.940000534057617,184.70999145507812,67.60641479492188,92.9282455444336,40.275672912597656,246.80470275878906,121.600830078125,42.02000045776367,35.002166748046875,41.341148376464844,508.0373840332031,36.470821380615234,56.761226654052734,40.45556640625,13.783074378967285,279.1676025390625,13.399999618530273,16.225210189819336,162.837646484375,5.070000171661377,43.57158660888672,38.68587875366211,27.58855438232422
2025-09-25,25.559999465942383,71.68132019042969,16.674663543701172,36.59000015258789,29.040000915527344,184.47024536132812,67.24639129638672,91.9493179321289,40.045982360839844,245.45654296875,121.9098892211914,39.869998931884766,34.912418365478516,40.712196350097656,504.9303283691406,36.26167678833008,56.51576232910156,40.58555221557617,13.64394474029541,275.1398620605469,13.109999656677246,15.899918556213379,162.51995849609375,5.03000020980835,43.68113708496094,38.59572219848633,27.467815399169922
2025-09-26,25.719999313354492,72.15648651123047,16.665395736694336,36.970001220703125,29.25,184.39035034179688,67.22692108154297,92.12731170654297,40.16582107543945,246.2055206298828,121.21200561523438,39.5,34.78278350830078,40.42267990112305,509.34197998046875,36.55049514770508,56.201568603515625,40.735538482666016,14.116984367370605,271.85797119140625,12.90999984741211,15.860488891601562,163.37376403808594,5.079999923706055,43.74089050292969,38.76100540161133,27.68916893005371
2025-09-29,25.979999542236328,70.07762145996094,16.77312660217285,36.869998931884766,29.780000686645508,183.55130004882812,67.36315155029297,92.2855224609375,39.72641372680664,243.71890258789062,122.11925506591797,39.900001525878906,34.9323616027832,40.42267990112305,512.4689331054688,36.76959991455078,56.07392501831055,41.55544662475586,13.504816055297852,271.7287292480469,13.800000190734863,15.880204200744629,163.52001953125,5.159999847412109,43.68113708496094,38.8912239074707,27.679080963134766
2025-09-30,25.65999984741211,64.55376434326172,16.749704360961914,37.150001525878906,29.959999084472656,183.33154296875,68.31672668457031,91.95921325683594,39.60657501220703,242.77020263671875,123.08631896972656,41.040000915527344,34.95230484008789,39.943477630615234,515.8051147460938,36.99866485595703,55.887367248535156,42.585330963134766,13.449164390563965,277.75543212890625,15.100000381469727,15.919631958007812,164.16677856445312,5.139999866485596,43.720977783203125,39.016441345214844,27.860715866088867
2025-10-01,25.75,62.55409622192383,16.815282821655273,36.79999923706055,29.989999771118164,181.5835418701172,67.2950439453125,92.27562713623047,39.93613052368164,244.5677490234375,125.41923522949219,42.04999923706055,35.33124542236328,38.975093841552734,517.557861328125,37.12813186645508,56.31938934326172,42.8053092956543,13.838725090026855,286.88494873046875,14.859999656677246,16.028064727783203,165.0821990966797,5.320000171661377,43.19313430786133,39.26686477661133,28.213891983032227
